Key,EN,CN,FR,EN 적용체크,CN 적용체크,FR 적용체크
메인 메뉴로 돌아가기,Return to Main Menu,返回主菜单,Retour au menu principal,,,
워프 중,Warping,传送中,Téléportation...,,,
귀환 중,Returning,归还中,Retour en cours...,,,
거미,Spider,蜘蛛,Araignée,,,
늑대인간,Werewolf,狼人,Loup-garou,,,
록몬스터,Rock Monster,岩石怪,Golem de roche,,,
머쉬룸,Mushroom,蘑菇怪,Champignon,,,
모래 거미여왕,Desert Spider Queen,沙漠蜘蛛女王,Reine des araignées des sables,,,
모래 록몬스터,Desert Rock Monster,沙漠岩石怪,Golem de roche des sables,,,
모래 머쉬룸,Desert Mushroom,沙漠蘑菇怪,Champignon des sables,,,
모래정령,Sand Elemental,沙漠精灵,Esprit du sable,,,
미라,Mummy,木乃伊,Momie,,,
본드래곤,Bone Dragon,骨龙,Dragon d'os,,,
서리 거미여왕,Frost Spider Queen,霜冻蜘蛛女王,Reine des araignées givrées,,,
서리 록몬스터,Frost Rock Monster,霜冻岩石怪,Golem de roche givré,,,
서리 머쉬룸,Frost Mushroom,霜冻蘑菇怪,Champignon givré,,,
숲 거미여왕,Forest Spider Queen,森林蜘蛛女王,Reine des araignées de la forêt,,,
아귀,Evil Watcher,饿鬼,Lotte démoniaque,,,
언데드,Undead,亡灵,Mort-vivant,,,
얼음정령,Ice Elemental,冰霜精灵,Esprit de glace,,,
오크트리,OakTree,橡树怪,Arbre-orque,,,
와이번,Wyvern,翼龙,Wyverne,,,
용암 록몬스터,Lava Rock Monster,熔岩岩石怪,Golem de roche de lave,,,
용암 머쉬룸,Lava Mushroom,熔岩蘑菇怪,Champignon de lave,,,
자이언트웜,Giant Worm,巨型蠕虫,Ver géant,,,
자폭거미,Bomber Spider,自爆蜘蛛,Araignée explosive,,,
해골 기사,Skeleton Knight,骷髅骑士,Chevalier squelette,,,
헬뱃,Hell Bat,地狱蝙蝠,Chauve-souris infernale,,,
헬버그,Hell Bug,地狱虫,Scarabée infernal,,,
헬사이클롭,Hell Cyclops,地狱独眼巨人,Cyclope infernal,,,
헬플라잉데몬,Hell Flying Demon,地狱飞魔,Démon volant infernal,,,
헬하운드,Hellhound,地狱犬,Molosse infernal,,,
화염정령,Fire Elemental,火焰精灵,Esprit de feu,,,
먼저 F로 워프를 활성화하세요.,Activate the warp point with F first.,请先按F激活传送。,Activez d'abord le point de téléportation avec F.,,,
기지 복귀 지점이 설정되지 않았습니다.,Base return point is not set.,未设置基地返回点。,Aucun point de retour à la base n'a été défini.,,,
{0} 지역에서 먼저 워프 지점을 활성화하세요.,Activate a warp point in the {0} region first.,请先在{0}地区激活传送点。,"Activez d'abord le point de téléportation dans la région {0}.",,,
워프 지점 활성화 - {0},Warp Point Activated - {0},传送点激活 - {0},Point de téléportation activé - {0},,,
워프가 취소되었습니다.,Warp cancelled.,传送已取消。,Téléportation annulée.,,,
귀환석을 획득했습니다! H로 기지에 귀환할 수 있습니다.,Return Stone acquired! Press H to return to base.,已获得回城石！按H可返回基地。,Pierre de retour obtenue ! Appuyez sur H pour retourner à la base.,,,
귀환석을 보유하고 있지 않습니다.,You don't have a Return Stone.,未持有回城石。,Vous ne possédez pas de Pierre de retour.,,,
행동 중에는 귀환석을 사용할 수 없습니다.,Cannot use Return Stone while in action.,行动中无法使用回城石。,Impossible d'utiliser la Pierre de retour pendant une action.,,,
이동 중에는 귀환석을 사용할 수 없습니다.,Cannot use Return Stone while moving.,移动中无法使用回城石。,Impossible d'utiliser la Pierre de retour en déplacement.,,,
기지 안에서는 귀환석이 필요 없습니다.,Return Stone is not needed inside the base.,在基地内无需回城石。,Aucune Pierre de retour n'est nécessaire dans la base.,,,
귀환석 재사용까지 약 {0}분,Return Stone recharge: ~{0} min,距回城石再次可用约{0}分钟,Réutilisable dans environ {0} min,,,
귀환이 취소되었습니다.,Return cancelled.,归还已取消。,Retour annulé.,,,
{0} 회수,{0} Collected,回收{0},Récupérer {0},,,
{0} +{1},{0} +{1},{0} +{1},{0} +{1},,,
우주선 수리가 완료되었습니다,Spaceship fully repaired,飞船修复完成,Réparation du vaisseau terminée.,,,
{0}이(가) 부족합니다 ({1} / {2}),{0} insufficient ({1} / {2}),{0}不足（{1} / {2}）,{0} insuffisant ({1}/{2}),,,
{0}이(가) 필요합니다,{0} required,需要{0},{0} requis,O,,
우주선 수리 Lv.{0} 완료,Spaceship Repair Lv.{0} Complete,飞船修复 Lv.{0} 完成,Réparation du vaisseau Niv. {0} terminée,,,
인벤토리가 가득 차 창고로 이동했습니다,Inventory full. Item moved to storage.,背包已满，物品已移至仓库,Inventaire plein. Déplacé vers l'entrepôt.,,,
지금 구매할 수 없는 항목입니다,This item cannot be purchased right now.,当前无法购买此项目,Cet objet ne peut pas être acheté actuellement.,,,
재료가 부족합니다,Insufficient materials.,材料不足,Matériaux insuffisants,,,
이 업그레이드는 더 이상 사용하지 않습니다,This upgrade is no longer available.,此升级不再使用,Cette amélioration n'est plus utilisée.,,,
{0} 완료,{0} Complete,{0}完成,{0} terminé,O,,
아직 해금되지 않은 설비입니다,This facility is not yet unlocked.,尚未解锁的设施,Cette installation n'est pas encore débloquée.,,,
설치 한도에 도달했습니다 ({0}/{1}),Placement limit reached ({0}/{1}),已达安装上限（{0}/{1}）,Limite d'installation atteinte ({0}/{1}),,,
건축 가능 지역이 아닙니다!,Not a buildable area!,非可建造区域！,Impossible de construire ici !,O,,
이 설비는 아직 회전 설정이 안 돼 있습니다,Rotation not configured for this facility.,此设施尚未设置旋转,La rotation n'est pas encore disponible pour cette installation.,,,
회전할 수 없는 설비입니다,This facility cannot be rotated.,不可旋转的设施,Cette installation ne peut pas être tournée.,,,
전송 가능한 시간에너지 키트가 없습니다.,No transmittable time energy kit available.,没有可传输的时间能量套件。,Aucun kit d'énergie temporelle transférable.,,,
시간에너지 전송률 100%를 달성했습니다.,Time energy transmission rate reached 100%.,时间能量传输率已达到100%。,Taux de transfert d'énergie temporelle de 100 % atteint.,,,
현재 전송 구간에서 사용할 수 없는 키트입니다.,This kit cannot be used in the current transmission zone.,当前传输区间不可用的套件。,Ce kit ne peut pas être utilisé dans la zone de transfert actuelle.,,,
지역 보스 재료가 포함된 특수 키트가 필요합니다.,A special kit with regional boss materials is required.,需要含有地区Boss材料的特殊套件。,Un kit spécial contenant un matériau de boss régional est requis.,,,
해당 지역의 시간에너지 전송을 완료했습니다.,Time energy transmission for this region is complete.,已完成该地区的时间能量传输。,Transfert d'énergie temporelle terminé pour cette région.,,,
시간에너지 전송이 완료되었습니다.,Time energy transmission complete.,时间能量传输完成。,Transfert d'énergie temporelle terminé.,O,,
이미 최대 코어 레벨,Already at max core level,已达最大核心等级,Niveau de noyau déjà maximal,,,
강화 키트가 부족합니다,Enhancement kit insufficient,强化套件不足,Kits d'amélioration insuffisants,,,
코어 강화 성공!,Core enhancement successful!,核心强化成功！,Amélioration du noyau réussie !,,,
설비를 해금했습니다!,Facility unlocked!,已解锁设施！,Installation débloquée !,,,
{0} 설비를 해금했습니다!,{0} facility unlocked!,已解锁{0}设施！,Installation « {0} » débloquée !,,,
우클릭 대쉬 해금!,Right-click Dash Unlocked!,右键冲刺已解锁！,Ruée au clic droit débloquée !,,,
우클릭 대쉬는 코어 {0}강에 해금됩니다,Right-click Dash unlocks at Core +{0},右键冲刺在核心{0}强时解锁,La ruée au clic droit est débloquée au niveau {0} du noyau.,O,,
소모품만 퀵슬롯에 등록할 수 있습니다.,Only consumables can be assigned to quick slots.,只有消耗品可注册到快捷栏。,Seuls les consommables peuvent être assignés à la barre rapide.,,,
퀵슬롯에 등록했습니다.,Assigned to quick slot.,已注册到快捷栏。,Ajouté à la barre rapide.,,,
소모품이 없습니다.,No consumable available.,没有消耗品。,Aucun consommable.,,,
시간이 이미 가득 찼습니다.,Time is already full.,时间已满。,Le temps est déjà au maximum.,,,
스킬이 아직 준비되지 않았습니다,Skill is not ready yet.,技能尚未准备就绪,La compétence n'est pas encore prête.,O,,
결계 밖입니다. 시간이 줄어듭니다!,Outside the barrier. Time is decreasing!,在结界之外。时间正在减少！,Vous êtes hors de la barrière. Le temps diminue !,O,,
복구 에너지,Repair Energy,复原能量,Énergie de réparation,,,
우주선 선체 보강재,Ship Hull Reinforcement,飞船船体加固材料,Renfort de coque du vaisseau,,,
우주선 동력 안정기,Ship Power Stabilizer,飞船动力稳定器,Stabilisateur d'énergie du vaisseau,,,
우주선 엔진,Ship Engine,飞船引擎,Moteur du vaisseau,,,
일반,Common,普通,Normal,O,,
고급,Advanced,高级,Avancé,O,,
희귀,Rare,稀有,Rare,,,
영웅,Hero,英雄,Héroïque,,,
전설,Legend,传说,Légendaire,,,
최대,Max,最大,Maximum,,,
확인,Confirm,确认,Confirmer,O,,
취소,Cancel,取消,Annuler,O,,
드래그하여 창고에 넣기,Drag to store in storage,拖至仓库,Faites glisser pour placer dans l'entrepôt,O,,
드래그하여 가방에 넣기,Drag to move to inventory,拖至背包,Faites glisser pour placer dans le sac,,,
튜토리얼,Tutorial,教程,Tutoriel,O,,
설비,Facility,设施,Installation,O,,
아이템,Item,物品,Objet,O,,
전체,All,全部,Tout,O,,
원재료,Raw Material,原材料,Matière première,O,,
1차 가공품,Processed Tier 1,一次加工品,Matériau transformé (Niv. 1),O,,
2차 가공품,Processed Tier 2,二次加工品,Matériau transformé (Niv. 2),O,,
전술 소모품,Tactical Consumable,战术消耗品,Consommables tactiques,O,,
핵심 강화,Core Upgrade,核心强化,Amélioration du noyau,O,,
특수,Special,特殊,Spécial,O,,
미시청,Unwatched,未观看,Non visionné,,,
포착,Spotted,已发现,Capturé,,,
미발견,Undiscovered,未发现,Non découvert,,,
미해금,Locked,未解锁,Non débloqué,,,
위험도,Threat,危险度,Niveau de danger,O,,
체력,HP,体力,PV,,,
공격력,ATK,攻击力,Attaque,O,,
공격속도,ATK SPD,攻击速度,Vitesse d'attaque,,,
이동속도,Move SPD,移动速度,Vitesse de déplacement,,,
사거리,Range,射程,Portée,,,
시야,Vision,视野,Champ de vision,,,
처치,Kill,击杀,Éliminations,O,,
스탯 공개,Reveal Stats,属性公开,Statistiques révélées,,,
확률 공개,Reveal Rates,概率公开,Probabilités révélées,,,
드롭 확률 공개,Drop Rate Revealed,掉落概率公开,Taux de butin révélés,,,
스탯 잠김 - {0}마리 처치 시 활성화 ({1} / {0}),Stats locked - unlocks after {0} kills ({1} / {0}),属性锁定 - 击杀{0}只时激活（{1} / {0}）,Statistiques verrouillées - Déverrouillées après avoir éliminé {0} ennemis ({1}/{0}),,,
확률 잠김 - {0}마리 처치 시 활성화 ({1} / {0}),Rates locked - unlocks after {0} kills ({1} / {0}),概率锁定 - 击杀{0}只时激活（{1} / {0}）,Probabilités verrouillées - Déverrouillées après avoir éliminé {0} ennemis ({1}/{0}),O,,
드롭 정보가 없습니다.,No drop data available.,无掉落信息。,Aucune information de butin.,,,
재료를 누르면 출처 보기,Click material to view source,点击材料查看来源,Cliquez sur un matériau pour voir son origine.,O,,
레시피 10회 제작 후 활성화 시 -> 제작마다 10% 확률로 2배 생산!,Activate after 10 crafts → 10% chance to double output!,制作配方10次后激活 -> 每次制作有10%概率双倍产出！,"Après 10 fabrications, cette recette est activée : chaque fabrication a 10 % de chances de produire le double !",O,,
클릭,Click,点击,Cliquer,,,
잭팟 ON,Jackpot ON,大奖 ON,Jackpot ACTIVÉ,,,
잭팟 활성화! 제작마다 10% 확률로 2배 생산,Jackpot active! 10% chance to double output per craft,大奖激活！每次制作有10%概率双倍产出,Jackpot activé ! Chaque fabrication a 10 % de chances de produire le double.,,,
표시할 레시피가 없습니다.,No recipes available.,没有可显示的配方。,Aucune recette à afficher.,,,
전 레시피 마스터 보상,All Recipes Mastered Reward,全配方精通奖励,Récompense de maîtrise de toutes les recettes,O,,
레시피,Recipe,配方,Recette,,,
마스터,Mastered,精通,Maîtrise,,,
수령 완료,Claimed,已领取,Récompense récupérée,,,
보상 수령,Claim Reward,领取奖励,Récupérer la récompense,,,
미달성,Incomplete,未达成,Non atteint,O,,
보상 수령 - 코어 키트,Reward Claimed - Core Kit,领取奖励 - 核心套件,Récupérer la récompense - Core Kit,,,
보상을 받지 못했습니다. 인벤토리를 비워주세요,Could not receive reward. Please clear your inventory,未能领取奖励。请清空背包,Impossible de récupérer la récompense. Libérez de l'espace dans votre inventaire.,,,
효과,Effect,效果,Effet,O,,
획득 방법,How to Obtain,获得方式,Méthode d'obtention,O,,
제작,Craft,制作,Fabrication,O,,
상자,Chest,箱子,Coffre,,,
정보,Info,信息,Informations,,,
에서 제작,crafted at,于...制作,Fabriquer dans,O,,
??? (미해금 설비),??? (Locked Facility),???（未解锁设施）,??? (Installation non débloquée),O,,
상자 파밍에서 획득,Obtained from chest loot,从箱子掠夺获得,Obtenu dans les coffres,O,,
??? (미발견 몬스터),??? (Undiscovered Monster),???（未发现的怪物）,??? (Monstre non découvert),O,,
출처 정보가 없습니다,No source information,无来源信息,Aucune information sur la provenance,,,
자세히 보기,View Details,查看详情,Voir les détails,O,,
좌클릭,Left Click,左键点击,Clic gauche,O,,
표시할 아이템이 없습니다.,No items to display.,没有可显示的物品。,Aucun objet à afficher.,,,
영상,Video,视频,Vidéo,,,
"이 항목의 가이드 설명이 여기에 들어갑니다. 핵심은 시간 자원 관리이며, 단계별 안내와 이미지, 주의사항이 본문에 배치됩니다.","Guide description goes here. Key focus is time resource management, with step-by-step instructions, images, and notes.",此条目的说明将显示在这里。核心是时间资源管理，分阶段指导、图片和注意事项将排列在正文中。,"La description de ce guide s'affiche ici. Elle explique la gestion du temps avec des instructions étape par étape, des images et des conseils.",,,
코어 강화,Core Upgrade,核心强化,Amélioration du noyau,,,
시간 에너지 전송,Time Energy Transfer,时间能量传输,Transfert d'énergie temporelle,O,,
우주선 수리,Ship Repair,飞船修复,Réparation du vaisseau,,,
비상 제어 장치,Emergency Control Device,紧急控制装置,Dispositif de contrôle d'urgence,,,
꺼지지 않는 시간의 잿불,The Undying Ember of Time,不灭的时间余烬,Braise intemporelle éternelle,,,
얼어붙은 시간의 파수꾼,The Frozen Guardian of Time,冻结的时间守望者,Gardien du temps gelé,,,
시간을 삼키는 사막의 지배자,The Desert Sovereign Who Devours Time,吞噬时间的沙漠支配者,Souverain du désert dévoreur de temps,,,
시간을 빨아먹는 포식자,The Predator That Drains Time,吮吸时间的掠食者,Prédateur qui absorbe le temps,,,
얼음정령,Ice Elemental,冰霜精灵,Esprit de glace,,,
인벤토리의 아이템을 잃어버렸다…,Lost items from the inventory…,背包中的物品已丢失…,Les objets de l'inventaire ont été perdus…,,,
시간 소멸,TIME LOST,时间消亡,Dissipation du temps,,,
시간 되감기,Rewind Time,时间倒流,Rembobinage du temps,,,
이름순,By Name,按名称,Trier par nom,,,
카테고리순,By Category,按类别,Trier par catégorie,,,
등급순,By Grade,按等级,Trier par niveau,,,
수량순,By Quantity,按数量,Trier par quantité,,,
오름,Asc,升序,Croissant,,,
내림,Desc,降序,Décroissant,,,
처치,Kill,击杀,Éliminations,,,
초,s,秒,s,O,,
가방,Bag,背包,Sac,O,,
창고,Storage,仓库,Entrepôt,O,,
창고 |,Storage |,仓库 |,Entrepôt |,O,,
용량,Capacity,容量,Capacité,O,,
아이템을 여기로 드래그하여 창고에 보관 가능,Drag items here to store in Storage,将物品拖至此处可存入仓库,Faites glisser un objet ici,O,,
전체,All,全部,Tout,O,,
비어있음,Empty,空,Vide,O,,
연료,Fuel,燃料,Carburant,,,
재료 회수,Retrieve,回收材料,Récupérer les matériaux,O,,
모두 받기,Receive All,全部领取,Tout récupérer,O,,
해제 모드,Dismantle Mode,拆除模式,Mode démantèlement,,,
설비 회전,Rotate Facility,旋转设施,Pivoter l'installation,,,
레일 설치,Rail,轨道,Rail,,,
탑뷰 모드 나가기,Exit Build Mode,退出俯视模式,Quitter le mode vue du dessus,,,
목록 - LIST,LIST,列表,Liste,,,
몬스터 - THREAT,THREAT,怪物,Monstres ,,,
드랍 아이템 - DROPS,DROPS,掉落物,Butins ,,,
튜토리얼 - GUIDE,GUIDE,教程,Tutoriel,,,
설비 - FACILITY,FACILITY,设施,Installations,,,
제작 가능 레시피 - RECIPES,RECIPES,可制作配方,Recettes disponibles,,,
수리 단계,Repair Stage,修复阶段,Niveau de réparation,,,
다음 수리,Next Repair,下一阶段修复,Réparation suivante,,,
수리 완료,Fully Repaired,修复完成,Réparation terminée,,,
건축 범위,Build Range,建造范围,Zone de construction,,,
설비 연료,Facility Fuel,设施燃料,Carburant de l'installation,,,
공장 가동속도,Factory Speed,工厂运转速度,Vitesse de production,,,
{0}x{1}칸,{0}x{1} tiles,{0}×{1}格,{0} × {1} cases,,,
{0}초,{0}s,{0}秒,{0} s,,,
제작 {0}%,Build {0}%,制作 {0}%,Fabrication {0} %,,,
수리 실행,Repair,开始修复,Lancer la réparation,,,
탈출하기,Escape,撤离,S'échapper,,,
{0} 부족 {1} / {2},{0}: {1} / {2} needed,{0}不足 ({1}/{2}),{0} insuffisant ({1}/{2}),,,
{0} 필요,{0} required,需要{0},{0} requis,,,
수리 불가,Cannot Repair,无法修复,Réparation impossible,,,
시간에너지 {0}% / 100%,Time Energy {0}% / 100%,时间能量 {0}% / 100%,Énergie temporelle {0} % / 100 %,,,
사용됨 (수리 완료),Used (Repaired),已使用（修复完成）,Utilisé (réparation terminée),,,
보유 중,Owned,已拥有,En possession,,,
미획득,Not Obtained,未获得,Non obtenu,,,
시간에너지 전송률 {0}% 에서 획득,Obtained at {0}% transmission,时间能量传输率达到 {0}% 时获得,Obtenu à {0} % de transfert d'énergie temporelle,,,
시간에너지 전송으로 획득,Obtained via transmission,通过时间能量传输获得,Obtenu via le transfert d'énergie temporelle,,,
← {0}개 부족,← {0} short,← 缺少 {0} 个,← Il manque {0},,,
폐선체 복원 관제,Vessel Restoration Control,废弃飞船修复控制台,Centre de restauration de l'épave,,,
우주선 수리,Ship Repair,飞船修复,Réparation du vaisseau,,,
선체 복원도,Hull Restoration,船体修复进度,Progression de la restauration de la coque,,,
코어 강화 (타이틀 키),Core <color=#5FC4FF>Upgrade</color>,核心强化,Amélioration du noyau,,,
보유 코어 키트,Owned Core Kits,持有核心套件,Core Kits en possession,,,
코어 효과,Core Effects,核心效果,Effets du noyau,,,
최대 단계 달성,Max Level Reached,已达到最高等级,Niveau maximal atteint,,,
Lv.5 완료 시 - 격납 펜스 해제 / 탈출 시도 가능,Lv.5 Complete - Fence removed / Escape unlocked,Lv.5完成 - 解除机库围栏 / 可尝试撤离,Niv. 5 terminé - Clôture du hangar désactivée / Évasion possible,,,
멈춰서 <color=#46E08A>성공존</color>에 맞추세요!,Stop in the <color=#46E08A>success zone</color>!,停在<color=#46E08A>成功区域</color>内！,Arrêtez-vous dans la <color=#46E08A>zone de réussite</color> !,,,
코어,Core,核心,Noyau,,,
강화,Upgrade,强化,Amélioration,,,
UPLINK 연결됨,UPLINK Connected,UPLINK 已连接,UPLINK connecté,,,
{0} x1 전송 / {1}% -> {2}%,{0} x1 Sent / {1}% -> {2}%,传输 {0} ×1 / {1}% → {2}%,Transfert de {0} ×1 / {1} % → {2} %,,,
{0}% 구간 보상 획득,{0}% Milestone Reward Obtained,获得 {0}% 阶段奖励,Récompense du palier {0} % obtenue,,,
시간에너지 전송,Time Energy Transmission,时间能量传输,Transfert d'énergie temporelle,,,
현재 전송률,Current Rate,当前传输率,Taux de transfert actuel,,,
보유 충전 키트,Owned Charge Kits,持有充能套件,Kits de recharge en possession,,,
수량,Qty,数量,Quantité,,,
예상 상승률,Est. Gain,预计提升率,Augmentation estimée,,,
충전 키트,Charge Kit,充能套件,Kit de recharge,,,
보유한 충전키트가 없습니다.,No charge kits owned.,没有持有充能套件。,Vous ne possédez aucun kit de recharge.,,,
선택된 키트,Selected Kit,已选择的套件,Kit sélectionné,,,
예상 전송률,Projected Rate,预计传输率,Taux de transfert estimé,,,
전송,Transmit,传输,Transférer,,,
닫기 ESC,Close ESC,关闭（ESC）,Fermer (Échap),,,
클릭하여 계속,Click to Continue,点击继续,Cliquez pour continuer,,,
전송 제어,Transmission Control,传输控制,Contrôle du transfert,,,
UPLINK 연결됨,UPLINK Connected,UPLINK 已连接,UPLINK connecté,,,
목표 {0}%,Goal {0}%,目标 {0}%,Objectif : {0} %,,,
여는 중,Unlocking,正在开启...,Ouverture...,,,
파밍 상자,Loot Box,战利品宝箱,Coffre de butin,,,
게임 시작,Start Game,开始游戏,Commencer la partie,,,
옵션,Options,设置,Options,,,
제작진,Credits,制作人员,Crédits,,,
게임 종료,Quit Game,退出游戏,Quitter le jeu,,,
월드명,World Name,世界名称,Nom du monde,,,
코어 레벨,Core Level,核心等级,Niveau du noyau,,,
결정,Confirm,水晶,Cristaux,,,
삭제,Delete,删除,Supprimer,,,
신규 월드 생성하기,Create New World,创建新世界,Créer un nouveau monde,,,
새 월드 이름,New World Name,新世界名称,Nom du nouveau monde,,,
게임을 종료하시겠습니까?,Are you sure you want to quit?,确定要退出游戏吗？,Voulez-vous quitter le jeu ?,,,
예,Yes,是,Oui,,,
아니요,No,否,Non,,,
우주선 선체 보강재,Ship Hull Reinforcement,飞船船体强化材料,Renfort de coque du vaisseau,,,
우주선 동력 안정기,Power Stabilizer,飞船动力稳定器,Stabilisateur d'énergie du vaisseau,,,
우주선 엔진,Ship Engine,飞船引擎,Moteur du vaisseau,,,
사막,Desert,沙漠,Désert,,,
설산,Snow,雪山,Montagne enneigée,,,
열쇠,Key,钥匙,Clé,,,
프롤로그,Prologue,序章,Prologue,,,
기본 조작,Basic Controls,基本操作,Commandes de base,,,
비상 제어 장치,Emergency Console,紧急控制装置,Console de secours,,,
조종석으로 이동,Move to Cockpit,前往驾驶舱,Rejoindre le cockpit,,,
<color=#FFCC00>WASD</color>: 이동,<color=#FFCC00>WASD</color>: Move,<color=#FFCC00>WASD</color>: 移动,<color=#FFCC00>WASD</color> : Se déplacer,,,
<color=#FFCC00>Space</color>: 점프,<color=#FFCC00>Space</color>: Jump,<color=#FFCC00>Space</color>: 跳跃,<color=#FFCC00>Espace</color> : Sauter,,,
<color=#FFCC00>Shift</color>: 뛰기,<color=#FFCC00>Shift</color>: Sprint,<color=#FFCC00>Shift</color>: 奔跑,<color=#FFCC00>Maj</color> : Courir,,,
<color=#FFCC00>조종석</color>으로 이동하십시오,Move to the <color=#FFCC00>Cockpit</color>,请前往<color=#FFCC00>驾驶舱</color>,Rejoignez le <color=#FFCC00>cockpit</color>,,,
<color=#FFCC00>비상 제어 장치</color>를 작동하십시오,Operate the <color=#FFCC00>Emergency Console</color>,请启动<color=#FFCC00>紧急控制装置</color>,Activez la <color=#FFCC00>console de secours</color>,,,
<color=#FFCC00>F</color>: 비상 제어 장치 작동,<color=#FFCC00>F</color>: Activate Emergency Console,<color=#FFCC00>F</color>: 启动紧急控制装置,<color=#FFCC00>F</color> : Activer la console de secours,,,
업데이트 완료,Updated,已更新,Mis à jour,,,
퀘스트 보상:,Quest Reward:,任务奖励：,Récompense de quête :,,,
개,pcs,个,pcs,,,
비상 제어 장치,Emergency Console,紧急控制装置,Console de secours,,,
KAIROS 관제,KAIROS Control,KAIROS管制中心,Contrôle KAIROS,,,
radio_basics_start,"This is KAIROS Control. During the approach to ANANKE, time-energy field interference damaged the navigation systems. First, check your vital status.",这里是KAIROS管制中心。接近ANANKE时，时间能量场的干扰损坏了导航装置。请先确认生存状态。,"Ici le contrôle KAIROS. En approchant ANANKE, les interférences du champ d'énergie temporelle ont endommagé la navigation. Vérifiez d'abord votre état vital.",,,
radio_basics_done,"Vital signs are stable. Earth's time-energy reserves keep falling. We must secure time energy on ANANKE and transmit it. For now, head to the cockpit.",生存信号稳定。地球的时间能量存量仍在持续减少。必须在ANANKE确保时间能量并传送回地球。请先前往驾驶舱。,Signes vitaux stables. Les réserves d'énergie temporelle de la Terre continuent de baisser. Il faut sécuriser de l'énergie sur ANANKE et la transmettre. Rejoignez d'abord le cockpit.,,,
radio_emergency_shown,There is an emergency control on the central console. Activating it will switch the ship into the emergency landing procedure.,中央控制台上有紧急控制装置。启动后，飞船将转入紧急着陆程序。,Le dispositif de secours se trouve sur la console centrale. Son activation fera passer le vaisseau en procédure d'atterrissage d'urgence.,,,
radio_emergency_done,"The emergency device is under the red cover. Activate it. Communications may become unstable after landing. No. 127, have a safe descent. We will reconnect on the surface.",紧急装置位于红色护盖之下。请启动它。着陆后通信可能会不稳定。127号，祝你平安着陆。我们地面再联络。,"Le dispositif d'urgence est sous le capot rouge. Activez-le. Les communications risquent d'être instables après l'atterrissage. N°127, bonne descente. Nous reprendrons contact au sol.",,,
문 열기,Open Door,开门,Ouvrir la porte,,,
문 닫기,Close Door,关门,Fermer la porte,,,
기본 조작 확인하기,Check Basic Controls,确认基本操作,Vérifier les commandes de base,,,
조종석으로 이동하기,Move to the Cockpit,前往驾驶舱,Rejoindre le cockpit,,,
비상 제어 장치 작동하기,Activate the Emergency Control,启动紧急控制装置,Activer le dispositif de secours,,,
상태 확인하기,Check Your Status,确认状态,Vérifier votre état,,,
결계 밖 탐사 지점으로 이동하기,Move to the Exploration Site Outside the Barrier,前往结界外的勘探点,Rejoindre le site d'exploration hors de la barrière,,,
위협 개체 처치하기,Eliminate the Hostile Creature,消灭威胁生物,Éliminer la créature hostile,,,
전투 자원 회수하기,Recover Combat Resources,回收战斗资源,Récupérer les ressources de combat,,,
기지의 건설 구역으로 이동하기,Move to the Base Construction Zone,前往基地建造区,Rejoindre la zone de construction de la base,,,
건설 모드 진입하기,Enter Build Mode,进入建造模式,Entrer en mode construction,,,
생체 추출기 설치하기,Install the Bio Extractor,安装生物提取器,Installer l'extracteur biologique,,,
첫 재료 가공하기,Process Your First Materials,加工首批材料,Transformer vos premiers matériaux,,,
가공 결과물 회수하기,Collect the Processed Product,回收加工产物,Récupérer le produit transformé,,,
생체 배양기 설치하기,Install the Bio Incubator,安装生物培养器,Installer l'incubateur biologique,,,
회복 앰플 제작하기,Craft a Healing Ampoule,制作恢复安瓿,Fabriquer une ampoule de soin,,,
회복 앰플 회수하기,Collect the Healing Ampoule,回收恢复安瓿,Récupérer l'ampoule de soin,,,
회복 앰플 사용하기,Use the Healing Ampoule,使用恢复安瓿,Utiliser l'ampoule de soin,,,
회복 앰플 퀵슬롯 등록하기,Register the Ampoule to a Quick Slot,将恢复安瓿注册到快捷栏,Assigner l'ampoule à l'emplacement rapide,,,
설비 사이 레일 연결하기,Connect Facilities with a Rail,用轨道连接设施,Relier les installations par un rail,,,
레일 자동화 작동 확인하기,Verify Rail Automation,确认轨道自动化运行,Vérifier l'automatisation du rail,,,
코어 강화 단말로 이동하기,Move to the Core Upgrade Terminal,前往核心强化终端,Rejoindre le terminal d'amélioration du noyau,,,
코어 강화하기,Upgrade the Core,强化核心,Améliorer le noyau,,,
시간에너지 전송기 찾기,Find the Time Energy Transmitter,寻找时间能量传送器,Trouver le transmetteur d'énergie temporelle,,,
시간에너지 키트 전송하기,Transmit a Time Energy Kit,传送时间能量套件,Transmettre un kit d'énergie temporelle,,,
자연권역 전송률 25% 달성하기,Reach 25% Transmission in the Nature Region,自然区域传送率达到25%,Atteindre 25 % de transmission dans la région Nature,,,
우주선 Lv.5 복구 진행하기,Restore the Ship to Lv.5,将飞船修复至Lv.5,Restaurer le vaisseau au niv. 5,,,
전투 자원 회수 방법 확인하기,Learn to Recover Combat Resources,了解战斗资源回收方法,Découvrir la récupération des ressources de combat,,,
새 설비 확인하기,Check the New Facility,确认新设施,Découvrir la nouvelle installation,,,
설비 가공 방법 확인하기,Learn Facility Processing,了解设施加工方法,Découvrir la transformation des matériaux,,,
레일 자동화 확인하기,Learn Rail Automation,了解轨道自动化,Découvrir l'automatisation du rail,,,
